1,-0.0007
0.975,0.00609
0.95,0.01287
0.925,0.01961
0.9,0.02639
0.875,0.03315
0.85,0.03988
0.825,0.04646
0.8,0.05286
0.775,0.05907
0.75,0.06513
0.725,0.07092
0.7,0.07634
0.675,0.08136
0.65,0.08599
0.625,0.09006
0.6,0.09371
0.575,0.09668
0.55,0.0991
0.5,0.10258
0.45,0.10445
0.4,0.10491
0.35,0.104
0.3,0.1016
0.25,0.0977
0.2,0.092
0.175,0.0884
0.15,0.084
0.125,0.079
0.1,0.073
0.075,0.06551
0.05,0.05589
0.0375,0.04965
0.025,0.0417
0.0125,0.0307
0.005,0.0204
0.002,0.013
0,0
0.002,-0.0093
0.005,-0.0138
0.0125,-0.0205
0.025,-0.0269
0.0375,-0.0319
0.05,-0.0358
0.075,-0.0421
0.1,-0.047
0.125,-0.051
0.15,-0.0543
0.175,-0.057
0.2,-0.0593
0.25,-0.0627
0.3,-0.0645
0.35,-0.0652
0.4,-0.0649
0.45,-0.0635
0.5,-0.061
0.55,-0.057
0.575,-0.054
0.6,-0.0508
0.625,-0.0469
0.65,-0.0428
0.675,-0.0384
0.7,-0.0348
0.725,-0.0294
0.75,-0.0249
0.775,-0.0204
0.8,-0.016
0.825,-0.012
0.85,-0.0086
0.875,-0.0058
0.9,-0.0036
0.925,-0.0025
0.95,-0.0026
0.975,-0.004
1,-0.008
